word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
sugar,1900,1,1750,705,5.2454,True,"february 25, 1905 thirsk & maltoji seat. mr j. j. brigg and the sugar convention. mr j. j. brigg, pri spective liberal candidate for the '1 beak and maltou on monday addrersed & pubhe meet- ing in the"
sugar,1900,1,1750,710,5.2514,True,"sugar now less id. per lb. al' william parker's 11, market place, ripon. established 1815. grandidge's gr'%:tlkllf6!l t 8; !'itelittutuirt 1 11111,1:17: i...."
sugar,1900,1,1750,715,5.2618,True,"sugait as a disinfectant. professor trilbert, of the pagben,- institute, has demonstrated that burning sugar develops one of the most powerful antiseptic gases known. five grains of sugar (77.16 grain"
sugar,1900,1,1750,734,5.2853,True,"cotton versus sugar growing. mr. george hughes, a well known west indian chemist has introduced a process by means of which the pith of the sugar cane is converted into ..."
sugar,1900,1,1750,751,5.3162,True,"sugar now less id. per lb. al' william parker. s. 11, market place, ripon. established 1815. a. copgrove. kirklington, littletliorpe, copt hewick, sharow, ..."
sugar,1900,1,1750,756,5.3265,True,"meeting. to the editor op the birkenhead news. 8/r.-14011(1 stanley of alderley, speaking after some remarks regarding the sugar contention, olio:last ""no bane country in the world has increased its p"
sugar,1900,1,1750,769,5.3448,True,"special whiskey"" burnt sugar and water palmed off to haslingden purchasers. at haslingden on monday, before mr. t. whitaker (chairman), mr. n. worsley, and alder- man witham, tho..."
sugar,1900,1,1750,773,5.3482,True,sugar substitutes and poison. action of thb local g 4 )t' ernmunt -boari). a ramular on the .triat of arsenic in beer. etc.. was issued by the lewal govern...
sugar,1900,1,1750,781,5.3694,True,granulated sugar lump sugar i id. and ri- per lb. nev currants from 21d. pm lb. 6d. per lb. choice hams... pure butter... nev figs 61d. per lb. canadian cheese 6id. p...
sugar,1900,1,1750,788,5.3765,True,"in the nollll, ot con. on the mcmday, mr garold balfour, sugar presidest of the board of contecesoe. 'prods, sauced • reeolution ap- proving of the optics of the sugar conieresos, which met at brumes "
sugar,1900,1,1750,810,5.4115,True,chm' with the editor. the excellent dietetic value of sugar has been proved over and over again of late years—witness the provision of chocolate and jam for our soldiers at the war and athletes when e
sugar,1900,1,1750,823,5.434,True,"worth advertiser, saturday. december 1. 1900. the farmers' column. sugar beet growing in warwick- shire. the rev. edward muckleston, m.a., of heseley glebe farm, warwick, has been continuing his exper"
sugar,1900,1,1750,829,5.4405,True,"j 1 ruined sugar trades. 12,000 fewer workers & 50.000 on short time. if anyone doubts the diaa,trotis ree,ultsof tht, ""working model of protection"" which is supplied..."
sugar,1900,1,1750,833,5.4484,True,"-:0:---- the arsenic mire has been dita.i`ious to measr.s. bostock, the firm who supplied the brewers with the sugar containing arsenic. a case for damages went against them re- cently, and the verdic"
sugar,1900,1,1750,846,5.4621,True,"stockign and iiiuil;aby fashionable ivlarrlagelminmalade jar; mr htnry grace, silver sugar tongs; mr j. w. end sliss hoyland. picture; dr. and mr, giles, copper tea tray: mr and mr. at saltburn. borra"
sugar,1900,1,1750,884,5.5087,True,"where sugar comes from children, like irish,nen, are credited w,th • good deal of uneonscio-ts humour. the latesf instance brought to my notice is one of the cx...."
sugar,1900,1,1750,887,5.5123,True,"le pmopte ra in middlf.b- rough. 56. marbled moor (aliens stigilis).— common on the fence at sugar at dusk; aso on tree trunks in the park. the ipecim,n( obtained were au of the var:ety ""ce,h'ops,"" wh"
sugar,1900,1,1750,899,5.5322,True,"sugar is id. per lb. dearer.—advt. buckley-street band of hope juvenile choir. a concert in aid of the above was held in the schoolroom on monday, councill..."
sugar,1900,1,1750,905,5.5384,True,"sugar dearer local advance in price. the retailers' suter association, whose jurisdiction is only. london and suburban, at the beginning_ of this month app..."
sugar,1900,1,1750,909,5.5469,True,"silver lustre tespot, sugar and cream jug, good con- dition, 17s. 6d.—saravis, 106, knightsbridge, london, cinematograph (good) and lantern. shows standard films perfect order; ..."
sugar,1900,1,1750,922,5.5757,True,"cromwell's letters. that moro inman convention. trouslr already. sre,—the more the sugar convention is examined the less it commends itself to public favour. i cto not think, however, that par- liamen"
sugar,1900,1,1750,926,5.5768,True,•effect of dear sugar all the injuries and inconveniences which we felt sure must result from the sugar convention and its interference with the frea and open market in su...
sugar,1900,1,1750,931,5.5803,True,"ild silvsic thaspoons (6) and sugar bows. price ‘j 255., 275. 6d..i3os.—bearder. roundhav, leeds."
sugar,1900,1,1750,941,5.5874,True,"business announcements. cheap lines at wallaces. granulated sugar per lb. plum & apple jam 41(1. per jar. rich cakes 214. or 31d. each. etd i ,e, rlen business announcements. ~. previous to removal. s"
sugar,1900,1,1750,943,5.5882,True,"sugar ship for ""goodluck"" in the centre. it is your business to cut the cake (just as it was at your wedding)—at any rate, you must make he first incision ..."
sugar,1900,1,1750,950,5.5959,True,"the breakfast-table. mr asquith thinks sugar will have relief first. ""this budget is intended to lay the fonts- datinn and lead the way to larger changes in the future. ido not hesitate to inclu..."
sugar,1900,1,1750,964,5.6051,True,"the breakfast-table. mr asquith thinks sugar will have relief first. ""this budget is intended to lay the fonts- datinn and lead the way to larger changes in the future. ido not hesitate to inclu..."
